L,0,0,0,0,0,255,255,255,162,0,0,0,0,0,0,0,42,42,42,1,0,36,36,43,0,0,0,0,0,0,0,0,255,255,255,255,255,255,97,36,143,0,0,0,0,0,0,0,255,255,255,255,255,36,36,36,210,0,0,0,0,0,0,0,170,62,255,255,36,255,255,36,143,0,0,0,0,0,0,0,62,255,255,255,84,36,36,36,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,36,0,0,0,0,0,0,0,0,236,255,255,255,36,255,255,255,143,0,0,0,0,7,42,255,70,128,227,255,223,255,255,255,255,42,255,42,255,69,255,255,36,255,36,36,255,255,255,255,255,255,255,255,255,255,223,139,229,255,223,255,255,255,255,255,255,255,255,0,0,0,0,0,255,255,255,50,255,234,104,36,0,0,0,0,0,0,0,0,206,255,145,255,255,36,255,0,0,0,0,0,0,0,0,0,255,207,255,197,46,40,0,0,0,0,0,0,0,0,0,0,255,255,255,249,248,0,0,0,0,0,0,0,0,0,0,0,255,255,255,244,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,52,52,52,52,52,216,192,52,50,2,0,0,0,1,0,52,52,52,255,255,255,255,255,255,255,65,5,1,1,1,1,52,52,141,255,255,255,255,255,255,255,128,6,1,0,0,52,52,52,255,136,255,67,244,255,255,30,213,30,1,0,52,52,52,217,70,52,255,30,255,30,213,226,30,255,52,52,52,52,148,52,147,255,30,17,7,15,30,255,45,26,6,52,52,52,54,60,255,255,1,0,0,1,0,1,1,6,6,52,52,187,52,207,255,237,0,0,1,1,1,6,6,4,6,52,52,52,52,233,30,0,0,1,0,1,3,6,6,6,217,52,52,52,223,30,249,1,0,1,1,1,0,1,249,255,255,52,52,255,255,255,160,1,0,0,4,4,1,255,255,255,128,119,52,255,255,255,255,0,0,6,1,1,43,255,255,30,30,52,52,255,255,72,255,209,0,0,6,4,255,72,30,30,217,52,141,255,50,255,30,30,52,1,52,255,30,30,255,206,6,52,52,243,30,4,5,30,255,255,255,255,30,30,10,1,6,52,52,255,4,30,4,4,30,30,192,30,30,223,4,52,1
C,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,255,70,255,255,255,255,255,255,6,0,0,0,0,0,5,51,51,51,255,79,72,72,72,72,72,101,226,0,0,0,51,51,170,255,255,5,255,215,72,17,62,215,79,0,1,51,51,255,72,72,72,9,255,0,0,0,0,0,0,1,51,51,255,72,208,72,135,8,0,0,0,0,0,0,0,0,51,255,99,18,72,72,102,0,0,0,0,2,0,0,22,255,51,233,72,72,72,72,233,0,0,0,0,1,0,75,255,136,51,9,72,9,56,9,72,0,1,0,0,1,2,255,72,72,255,181,46,72,9,5,35,72,255,0,1,255,255,72,35,255,192,209,31,162,56,9,72,72,72,72,72,72,72,72,5,5,9,72,72,255,72,72,118,85,13,9,9,72,72,1,5,3,225,72,255,255,255,255,255,72,62,72,72,0,5,1,12,5,72,72,9,72,255,72,9,72,56,9,0,0,0,1,6,5,58,72,209,21,255,72,130,9,8,0,0,0,0,0,0,12,122,11,3,249,11,57,2,2,1,0,0,0,0,2,1,6
L,0,0,0,0,0,0,22,255,255,37,0,0,0,0,0,0,0,0,0,0,0,0,62,255,255,37,0,0,0,0,0,0,51,255,255,255,51,0,255,255,255,255,0,0,0,0,0,0,255,255,255,255,255,255,255,255,214,255,0,0,0,0,0,0,255,255,255,255,255,255,255,255,37,255,0,0,0,0,0,0,233,255,229,255,255,37,255,255,64,255,0,0,0,0,0,0,78,76,255,255,255,37,255,255,255,255,0,0,0,0,0,0,37,255,255,79,255,255,255,255,255,255,0,0,0,0,0,0,164,255,255,37,173,173,255,255,255,255,250,51,178,178,51,241,8,255,49,37,187,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,148,255,0,255,255,228,228,2,1,1,255,199,255,255,255,255,178,173,255,11,0,0,0,0,0,0,178,255,178,167,255,119,63,159,0,0,0,0,0,0,0,0,89,255,76,255,255,64,35,0,0,0,0,0,0,0,0,0,51,255,255,255,236,32,0,0,0,0,0,0,0,0,0,0,255,255,250,187,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,111,187,255,255,105,111,0,0,0,0,0,0,0,0,0,111,255,255,255,255,41,255,159,159,0,0,0,0,0,0,0,111,255,240,111,223,142,0,255,255,3,0,0,0,0,255,255,111,233,255,151,255,255,255,255,255,255,0,0,0,111,255,20,141,111,255,255,255,255,255,255,255,255,255,0,0,111,255,255,255,187,255,57,255,255,255,124,255,255,255,0,0,111,255,255,27,255,255,255,255,255,169,255,255,255,111,111,0,84,255,255,255,255,255,255,255,255,255,255,255,20,255,255,111,111,255,255,20,124,248,207,111,255,163,111,255,255,255,255,255,0,255,255,255,255,231,255,255,255,255,111,124,255,255,255,255,0,111,206,255,234,218,94,133,111,232,133,111,255,42,20,255,0,0,111,255,240,255,255,255,111,111,111,240,20,41,255,2,0,0,0,151,255,214,111,214,111,111,214,255,111,255,255,255,0,0,0,111,111,255,255,255,255,255,160,160,205,149,0,0,0,0,111,109,111,255,111,111,255,169,241,0,45,1,0,0,0,16,90,111,111,111,111,255,120,0,182,0,0,3,1,2
C,0,0,0,0,0,0,94,94,144,94,94,94,5,1,5,1,0,0,0,0,29,94,94,94,255,255,255,94,255,255,255,6,0,0,3,94,94,94,94,255,94,94,94,94,255,255,255,255,0,94,94,94,94,124,255,255,255,255,255,255,255,255,255,255,94,94,94,94,255,255,255,255,255,210,255,255,255,255,210,108,94,94,94,255,94,94,164,255,255,255,239,255,255,3,18,122,58,94,94,94,129,255,241,255,255,18,20,21,18,18,33,3,94,94,94,94,105,18,4,1,0,0,1,1,38,9,38,13,94,94,94,144,244,0,0,0,0,1,1,0,0,1,1,5,94,94,149,18,255,230,0,0,0,0,0,1,1,1,1,1,94,255,18,255,255,244,1,0,0,0,0,1,8,58,226,255,124,18,210,223,210,55,240,0,0,0,0,3,116,255,255,255,255,255,240,18,1,5,40,254,79,76,94,255,255,255,255,255,255,136,1,122,97,3,11,151,255,255,255,255,255,122,255,75,2,255,1,1,2,17,15,18,255,33,20,255,18,17,0,0,255,115,1,1,1,3,1,23,255,18,255,1,1,0,1,5
C,0,0,99,99,99,99,255,255,255,255,75,0,23,0,5,6,99,99,255,99,99,255,255,245,23,23,140,0,0,0,0,8,99,187,99,255,23,51,143,0,0,0,0,0,0,0,9,9,99,114,255,255,23,109,0,0,0,0,0,17,9,9,53,9,99,255,255,255,255,0,0,0,9,0,0,1,255,255,196,53,99,255,176,255,255,0,0,0,0,0,0,27,255,255,135,53,99,255,85,23,255,211,0,0,0,0,0,99,255,23,182,53,255,255,23,255,23,203,255,8,0,0,81,160,23,58,9,53,99,23,255,255,17,23,255,255,255,255,255,255,38,53,9,39,107,255,74,24,23,88,255,255,255,255,255,255,9,8,9,9,99,255,21,255,255,255,255,153,23,23,255,20,0,9,28,4,255,255,22,255,255,255,255,255,23,23,107,0,7,9,9,0,255,255,255,41,255,255,255,255,103,66,0,0,0,0,0,0,241,124,23,23,255,161,252,255,8,0,0,0,0,0,0,0,255,255,23,23,99,33,4,90,0,0,0,0,0,0,0,0,206,255,95,66,1,2,0,0,0,0,0,0,1,0,0,0
L,0,0,0,0,255,255,156,127,0,0,0,0,0,0,0,0,0,0,0,0,255,156,156,227,0,0,0,0,0,0,0,0,0,0,0,0,207,156,156,127,0,0,0,0,0,0,0,0,255,239,255,255,255,156,156,255,0,0,0,0,0,0,0,0,255,156,16,221,156,156,156,156,0,0,0,0,0,0,0,0,156,182,156,255,156,156,119,182,0,0,0,0,0,0,0,0,156,156,55,156,156,156,156,156,0,0,0,0,0,0,0,0,255,205,16,156,156,156,156,205,0,0,0,0,0,0,0,0,156,156,156,255,156,156,161,210,0,0,0,0,0,0,0,0,55,156,115,16,156,156,241,255,255,255,255,227,255,191,156,156,156,182,156,156,156,156,156,156,156,156,156,156,156,156,90,11,156,190,190,190,156,110,16,108,156,7,0,0,0,0,0,0,255,255,145,156,16,134,16,0,0,0,0,0,0,0,0,0,156,156,20,16,16,86,0,0,0,0,0,0,0,0,0,0,255,156,156,16,16,0,0,0,0,0,0,0,0,0,0,0,255,226,156,16,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,124,136,255,255,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,203,255,255,0,0,0,0,0,0,0,124,124,255,124,128,251,62,255,20,255,0,0,0,255,137,255,169,144,255,214,255,255,234,255,255,137,0,0,124,124,255,210,255,255,255,234,234,255,127,124,255,255,0,0,124,255,255,255,193,255,255,255,248,255,193,255,255,255,0,0,124,255,255,181,255,255,255,198,255,255,255,255,255,255,0,124,243,255,159,255,255,255,233,255,255,255,255,255,137,255,0,255,255,211,255,255,255,255,255,255,202,255,255,230,255,255,255,189,255,255,255,189,255,255,255,124,124,255,255,255,255,255,203,124,124,185,247,255,255,255,189,124,124,124,251,145,27,255,255,105,255,124,255,255,255,255,189,124,124,124,255,20,20,57,189,0,124,169,255,124,189,255,255,255,255,255,255,255,255,122,1,0,124,247,193,132,255,247,255,132,251,124,128,132,0,0,0,48,124,218,161,153,78,124,161,226,72,27,0,0,0,0,0,124,124,124,124,124,124,124,112,0,0,0,0,0,0,3,8
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,79,101,101,101,101,101,101,101,226,255,179,0,0,0,0,83,101,207,255,255,255,255,122,255,255,255,22,0,0,0,101,101,101,101,101,101,255,255,22,22,22,2,22,0,0,52,101,101,101,101,255,255,8,0,0,4,0,0,5,0,101,101,101,101,255,19,255,255,0,0,0,0,0,8,8,72,101,101,101,101,18,22,226,255,2,0,0,20,8,9,0,83,101,101,101,255,255,255,255,255,101,0,0,0,1,8,24,101,101,101,255,249,22,255,22,1,22,228,8,1,7,8,101,101,87,101,167,228,255,22,1,1,2,22,22,255,255,255,255,101,101,86,2,69,20,1,0,1,1,22,22,22,162,255,22,93,101,22,2,14,255,22,12,13,153,13,2,19,226,74,8,91,255,166,22,93,12,255,255,13,255,4,22,142,8,0,0,149,255,2,14,22,66,255,20,255,255,207,47,0,0,0,0,130,101,255,2,12,255,2,95,1,1,2,0,0,0,0,0,191,59,254,22,23,242,0,23,0,0,0,0,0,0,0,0
